ID,市区町村名,地番,価格(円/平米),利用の現状,周辺の土地の利用の現況
0,千代田区,三番町６番２５,3050000,共同住宅,マンション、住宅、事務所等が混在する住宅地域
1,千代田区,紀尾井町３番２７外,1990000,共同住宅,中層のマンション、事務所等が混在する住宅地域
2,千代田区,六番町６番１外,3930000,共同住宅,中高層マンション、事務所等が混在する住宅地域
3,千代田区,富士見１丁目８番６,1480000,共同住宅,一般住宅、共同住宅、事務所等が混在する地域
4,千代田区,九段北２丁目６番２６,2870000,共同住宅,事務所、学校、マンション等が混在する住宅地域
5,千代田区,平河町２丁目２番２３,2540000,事務所、共同住宅兼駐車場,マンション、会館、事務所等が混在する住宅地域
6,千代田区,一番町１６番３,2960000,共同住宅,中高層マンションの多い閑静な住宅地域
7,千代田区,大手町１丁目１１番外,13300000,建築中,高層事務所ビルが建ち並ぶ中心的商業地域
8,千代田区,丸の内２丁目２番１外,36800000,事務所兼店舗,特定街区等による大規模ビル中心の商業地域
9,千代田区,神田錦町２丁目７番１５,1160000,店舗兼事務所,中高層の事務所、共同住宅が混在する商業地域
10,千代田区,神田岩本町１番２外,2970000,店舗、事務所兼住宅,中高層の事務所ビルが多い駅近接の商業地域
11,千代田区,外神田３丁目４７番６,2340000,店舗、事務所兼住宅,中高層の店舗、事務所ビル等が建ち並ぶ商業地域
12,千代田区,外神田２丁目９番１外,1070000,事務所兼住宅,中低層の事務所、共同住宅等が建ち並ぶ商業地域
13,千代田区,神田小川町１丁目１番１外,5490000,銀行兼事務所,中高層の店舗兼事務所の建ち並ぶ商業地域
14,千代田区,神田三崎町３丁目７番８外,3120000,事務所,中高層の店舗、事務所ビルが建ち並ぶ商業地域
15,千代田区,麹町１丁目１２番６外,3780000,店舗、事務所兼駐車場,店舗兼事務所ビル等が見られる商業地域
16,千代田区,九段南２丁目１番２外,3130000,店舗兼事務所,中高層の事務所ビルが建ち並ぶ商業地域
17,千代田区,飯田橋４丁目１１番８,4000000,店舗兼事務所,中高層の店舗、事務所ビルが集まる商業地域
18,千代田区,霞が関１丁目１１番外,13900000,店舗兼事務所,大規模な事務所ビルが建ち並ぶ商業地域
19,千代田区,岩本町２丁目１７２番３,999000,事務所,中層の事務所ビルが建ち並ぶ商業地域
20,千代田区,永田町２丁目８１番１外,8020000,事務所,高層の店舗兼事務所ビルが建ち並ぶ商業地域
21,千代田区,二番町３番４,4180000,事務所兼車庫,中高層の店舗、事務所ビルが多い商業地域
22,千代田区,神田神保町１丁目２９番３外,1450000,事務所、店舗兼住宅,中層の店舗兼事務所ビルが多く見られる商業地域
23,千代田区,一ツ橋２丁目９番１７,1440000,事務所兼住宅,中層事務所ビルが建ち並ぶ商業地域
24,千代田区,神田三崎町３丁目５番８外,1240000,事務所,中層の事務所ビルが建ち並ぶ商業地域
